instance,time,encoding,answer,dataset,memory
results/Grid/Ratio_50/50-10-7,0.085,db20,0.474714,Grid-50,22080
results/Grid/Ratio_50/50-18-2,,sbk05,,Grid-50,41264
results/Grid/Ratio_50/50-14-5,,sbk05,,Grid-50,66796
results/Grid/Ratio_50/50-18-2,,cd05,,Grid-50,19132
results/Grid/Ratio_50/50-10-4,0.082,db20,0.611607,Grid-50,19864
results/Grid/Ratio_50/50-16-10,,db20,,Grid-50,79488
results/Grid/Ratio_50/50-14-3,,cd06,,Grid-50,30376
results/Grid/Ratio_50/50-15-8,,cd06,,Grid-50,18252
results/Grid/Ratio_50/50-16-5,,sbk05,,Grid-50,47972
results/Grid/Ratio_50/50-19-10,,cd05,,Grid-50,35676
results/Grid/Ratio_50/50-16-9,,d02,,Grid-50,18460
results/Grid/Ratio_50/50-18-6,,cd05,,Grid-50,19216
results/Grid/Ratio_50/50-10-4,,cd06,,Grid-50,71956
results/Grid/Ratio_50/50-17-10,,sbk05,,Grid-50,62104
results/Grid/Ratio_50/50-10-5,,cd05,,Grid-50,54840
results/Grid/Ratio_50/50-10-4,0.144,sbk05,0.611607,Grid-50,24320
results/Grid/Ratio_50/50-17-3,,db20,,Grid-50,90068
results/Grid/Ratio_50/50-18-5,,cd05,,Grid-50,19732
results/Grid/Ratio_50/50-16-1,,d02,,Grid-50,18016
results/Grid/Ratio_50/50-15-6,,cd05,,Grid-50,17860
results/Grid/Ratio_50/50-15-3,,d02,,Grid-50,25680
results/Grid/Ratio_50/50-20-6,,sbk05,,Grid-50,18812
results/Grid/Ratio_50/50-10-9,,cd06,,Grid-50,71528
results/Grid/Ratio_50/50-18-6,,sbk05,,Grid-50,43936
results/Grid/Ratio_50/50-10-10,,cd06,,Grid-50,70780
results/Grid/Ratio_50/50-10-3,0.569,sbk05,0.437354,Grid-50,44732
results/Grid/Ratio_50/50-18-5,,cd06,,Grid-50,19644
results/Grid/Ratio_50/50-12-10,,cd06,,Grid-50,42076
results/Grid/Ratio_50/50-12-7,0.759,db20,0.435196,Grid-50,58500
results/Grid/Ratio_50/50-14-8,0.368,db20,0.150891,Grid-50,39484
results/Grid/Ratio_50/50-15-3,,cd06,,Grid-50,30800
