instance,novelty,width,dataset,inference_time,encoding,encoding_time,answer
results/original/Grid/Ratio_50/50-12-6.dne,new,29,Grid-50,11.226,cd06,1.64,0
results/original/Grid/Ratio_50/50-12-5.dne,old,,Grid-50,1.96,d02,12.6,0.6063532923653341
results/original/Grid/Ratio_50/50-16-10.dne,new,23,Grid-50,11.558,d02,1.79,0
results/original/Grid/Ratio_50/50-17-2.dne,old,,Grid-50,16.88,d02,169.01,0.7894189906536607
results/original/Grid/Ratio_50/50-15-2.dne,old,,Grid-50,2.99,cd05,12.85,0.6311830662182013
results/original/Grid/Ratio_50/50-18-1.dne,new,23,Grid-50,11.886,d02,1.93,0
results/original/Grid/Ratio_50/50-19-1.dne,new,1144,Grid-50,,bklm16,0.21,
results/original/Grid/Ratio_50/50-16-8.dne,old,,Grid-50,3.75,cd05,12.84,0.30589479081832077
results/original/Grid/Ratio_50/50-18-3.dne,old,,Grid-50,1061.07,sbk05,2.42,
results/original/Grid/Ratio_50/50-12-5.dne,new,28,Grid-50,11.283,cd06,2.15,0
results/original/Grid/Ratio_50/50-14-9.dne,old,,Grid-50,7.22,d02,73.85,0.581650117355937
results/original/Grid/Ratio_50/50-10-9.dne,new,14,Grid-50,11.227,sbk05,1.53,0
results/original/Grid/Ratio_50/50-20-2.dne,new,51,Grid-50,12.274,cd06,2.29,0
results/original/Grid/Ratio_50/50-18-2.dne,new,973,Grid-50,,bklm16,0.21,
results/original/Grid/Ratio_50/50-18-2.dne,new,25,Grid-50,71.465,cw,0.24,0.869726
results/original/Grid/Ratio_50/50-19-6.dne,new,21,Grid-50,11.812,d02,2.54,0
results/original/Grid/Ratio_50/50-15-2.dne,new,35,Grid-50,13.498,cd05,1.7,0
results/original/Grid/Ratio_50/50-15-3.dne,old,,Grid-50,1164.35,sbk05,1.66,
results/original/Grid/Ratio_50/50-18-6.dne,new,,Grid-50,,sbk05,3.31,
results/original/Grid/Ratio_50/50-14-1.dne,new,20,Grid-50,11.52,d02,1.72,0
results/original/Grid/Ratio_50/50-12-4.dne,new,28,Grid-50,11.397,cd06,1.6,0
results/original/Grid/Ratio_50/50-12-8.dne,new,,Grid-50,,bklm16,0.18,
results/original/Grid/Ratio_50/50-19-10.dne,new,49,Grid-50,12.097,cd05,2.59,0
results/original/Grid/Ratio_50/50-17-7.dne,old,,Grid-50,9.44,d02,1275.76,0.45264355581906546
results/original/Grid/Ratio_50/50-15-10.dne,old,,Grid-50,3.17,cd05,18.36,0.4593253198128586
results/original/Grid/Ratio_50/50-15-9.dne,new,37,Grid-50,11.54,cd06,2.4,0
results/original/Grid/Ratio_50/50-16-2.dne,new,884,Grid-50,,bklm16,0.2,
results/original/Grid/Ratio_50/50-15-5.dne,old,,Grid-50,111.39,bklm16,17.0,0.704075
results/original/Grid/Ratio_50/50-16-6.dne,old,,Grid-50,95.65,bklm16,7.15,0.1226666
results/original/Grid/Ratio_50/50-18-1.dne,new,46,Grid-50,13.947,cd05,1.98,0
results/original/Grid/Ratio_50/50-19-1.dne,old,,Grid-50,31.75,cd06,245.56,0.8785580790584722
results/original/Grid/Ratio_50/50-16-6.dne,old,,Grid-50,14.14,cd05,71.16,0.12266719168761299
results/original/Grid/Ratio_50/50-15-10.dne,new,21,Grid-50,16.461,cw,0.18,0.459326
results/original/Grid/Ratio_50/50-18-5.dne,new,43,Grid-50,11.789,cd06,2.41,0
results/original/Grid/Ratio_50/50-19-7.dne,new,21,Grid-50,11.48,d02,2.19,0
results/original/Grid/Ratio_50/50-15-6.dne,old,,Grid-50,115.36,bklm16,13.8,0.5457691
results/original/Grid/Ratio_50/50-15-3.dne,old,,Grid-50,3.94,cd06,15.14,0.9256755169062882
results/original/Grid/Ratio_50/50-19-3.dne,new,1200,Grid-50,,bklm16,0.23,
results/original/Grid/Ratio_50/50-20-1.dne,old,,Grid-50,1.32,cd06,1015.37,
results/original/Grid/Ratio_50/50-15-4.dne,new,32,Grid-50,11.401,cd06,2.28,0
results/original/Grid/Ratio_50/50-15-8.dne,old,,Grid-50,1030.12,sbk05,1.72,
results/original/Grid/Ratio_50/50-17-7.dne,old,,Grid-50,305.49,bklm16,22.32,
results/original/Grid/Ratio_50/50-20-5.dne,new,24,Grid-50,12.023,d02,2.37,0
results/original/Grid/Ratio_50/50-12-10.dne,new,14,Grid-50,11.45,cw,0.15,0.629836
results/original/Grid/Ratio_50/50-19-1.dne,new,26,Grid-50,376.629,cw,0.25,0.878559
results/original/Grid/Ratio_50/50-17-6.dne,old,,Grid-50,12.41,d02,98.41,0.5875264932145594
results/original/Grid/Ratio_50/50-12-1.dne,new,32,Grid-50,11.458,cd05,1.6,0
results/original/Grid/Ratio_50/50-16-1.dne,old,,Grid-50,16.79,cd06,135.42,0.5061328124191316
results/original/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1.31,cd06,2.21,0.4799127162686743
results/original/Grid/Ratio_50/50-17-4.dne,new,23,Grid-50,75.387,cw,0.21,0.505519
results/original/Grid/Ratio_50/50-17-9.dne,old,,Grid-50,1051.81,sbk05,1.82,
results/original/Grid/Ratio_50/50-17-9.dne,old,,Grid-50,350.83,bklm16,22.58,
results/original/Grid/Ratio_50/50-16-9.dne,old,,Grid-50,16.13,cd05,134.34,0.31642155544008616
results/original/Grid/Ratio_50/50-12-5.dne,old,,Grid-50,6.98,bklm16,3.03,0.6063519
results/original/Grid/Ratio_50/50-17-1.dne,new,24,Grid-50,11.571,d02,1.41,0
results/original/Grid/Ratio_50/50-20-1.dne,old,,Grid-50,290.57,bklm16,124.4,
